,VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type,p_lat,p_long,Pickup_longitude,Pickup_latitude,inside_zip
2862,2,1/1/2016 0:49,1/1/2016 1:17,N,1,-73.99235535,40.73746872,2,6.14,23,0.5,0.5,4.86,0,0.3,29.16,1,1,40.76310349,-73.92769623,1004279.471,217304.1792,73
2863,2,1/1/2016 0:53,1/1/2016 1:16,N,1,-73.9973526,40.7417717,1,5.14,20,0.5,0.5,0,5.54,0.3,26.84,2,1,40.74386215,-73.92313385,1005549.484,210295.017,86
2864,2,1/1/2016 0:46,1/1/2016 1:17,N,1,-73.91841125,40.63003159,1,2.74,20.5,0.5,0.5,5.45,0,0.3,27.25,1,1,40.6398468,-73.95032501,998036.3489,172393.7295,6
2865,2,1/1/2016 0:55,1/1/2016 1:17,N,1,-73.88395691,40.7434082,1,7.18,23.5,0.5,0.5,0,0,0.3,24.8,2,1,40.74376678,-73.88458252,1016232.035,210271.9962,202
2866,2,1/1/2016 0:56,1/1/2016 1:17,N,1,-73.83205414,40.77167892,1,9.34,28,0.5,0.5,0,0,0.3,29.3,2,1,40.75535965,-73.92524719,1004960.306,214483.4172,73
2867,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.98214722,40.7196312,1,4.75,18,0.5,0.5,1,0,0.3,20.3,1,1,40.68218231,-73.93999481,1000892.734,187819.5329,184
2868,2,1/1/2016 0:52,1/1/2016 1:18,N,1,-73.99446106,40.74555588,1,8.83,28.5,0.5,0.5,0,0,0.3,29.8,2,1,40.84347153,-73.94161224,1000404.963,246582.2026,33
2869,2,1/1/2016 0:53,1/1/2016 1:18,N,1,-73.97341156,40.67442322,1,10.77,32.5,0.5,0.5,5,0,0.3,38.8,1,1,40.77231216,-73.91559601,1007628.22,220662.2031,65
2870,2,1/1/2016 0:50,1/1/2016 1:18,N,1,-73.97720337,40.78464127,1,5.16,22,0.5,0.5,5.82,0,0.3,29.12,1,1,40.75923157,-73.91962433,1006516.829,215895.4618,72
2871,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.97901154,40.69219589,1,3.92,16.5,0.5,0.5,3.25,0,0.3,21.05,1,1,40.70280838,-73.92089844,1006182.42,195338.4182,99
2872,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.90255737,40.74478531,3,4.79,19,0.5,0.5,5.08,0,0.3,25.38,1,1,40.71640778,-73.96140289,994949.6035,200285.5433,261
2873,2,1/1/2016 0:53,1/1/2016 1:18,N,1,-73.99242401,40.76173019,1,5.28,21,0.5,0.5,0,0,0.3,22.3,2,1,40.80222321,-73.94969177,998178.117,231552.5562,49
2874,2,1/1/2016 0:58,1/1/2016 1:17,N,1,-73.88128662,40.75603867,1,3.96,16.5,0.5,0.5,0,0,0.3,17.8,2,1,40.74282455,-73.95201874,997545.7373,209911.2834,77
2875,2,1/1/2016 0:58,1/1/2016 1:17,N,1,-73.93463898,40.70352936,1,7.63,24,0.5,0.5,6.32,0,0.3,31.62,1,1,40.76216125,-73.92536926,1004924.375,216961.4345,73
2876,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.96227264,40.72071838,1,6.68,22,0.5,0.5,1.5,0,0.3,24.8,1,1,40.67759323,-73.98306274,988947.9547,186142.3524,117
2877,2,1/1/2016 0:57,1/1/2016 1:17,N,1,-73.99162292,40.72668457,1,3.91,16.5,0.5,0.5,2,0,0.3,19.8,1,1,40.67598343,-73.96958923,992685.36,185556.8653,118
2878,2,1/1/2016 0:57,1/1/2016 1:17,N,1,-73.93105316,40.66523743,1,2.57,13.5,0.5,0.5,0,0,0.3,14.8,2,1,40.6810112,-73.95527649,996654.5037,187390.3293,184
2879,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.97910309,40.72790146,1,2.82,15.5,0.5,0.5,3.36,0,0.3,20.16,1,1,40.71564102,-73.95187378,997591.3469,200007.499,201
2880,2,1/1/2016 0:57,1/1/2016 1:17,N,1,-73.93343353,40.84500122,1,3.21,14.5,0.5,0.5,0,0,0.3,15.8,2,1,40.83219528,-73.91467285,1007862.664,242479.963,35
2881,2,1/1/2016 0:49,1/1/2016 1:16,N,1,-74.00528717,40.74115753,1,5.36,22,0.5,0.5,0,0,0.3,23.3,2,1,40.71912766,-73.96302032,994500.8128,201276.2849,261
2882,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.95293427,40.72726822,1,4.39,17.5,0.5,0.5,3.76,0,0.3,22.56,1,1,40.68309021,-73.96504974,993943.4938,188146.5399,118
2883,2,1/1/2016 0:58,1/1/2016 1:16,N,1,-73.90531158,40.69958878,1,3.86,14.5,0.5,0.5,0,0,0.3,15.8,2,1,40.68933487,-73.95510101,996701.6193,190422.9084,111
2884,2,1/1/2016 0:50,1/1/2016 1:18,N,1,-73.91471863,40.70524216,1,8.5,27,0.5,0.5,0,0,0.3,28.3,2,1,40.7743187,-73.90809631,1009704.718,221395.3394,59
2885,2,1/1/2016 0:54,1/1/2016 1:18,N,1,-73.86901093,40.82112503,1,6.26,22,0.5,0.5,0,0,0.3,23.3,2,1,40.81526947,-73.95786285,995913.6206,236304.579,43
2886,2,1/1/2016 0:55,1/1/2016 1:18,N,1,-73.97111511,40.67314529,1,4.56,18,0.5,0.5,0,0,0.3,19.3,2,1,40.69990921,-73.90836334,1009659.118,194285.5519,100
2887,2,1/1/2016 0:52,1/1/2016 1:17,N,1,-74.0279007,40.62831879,6,5.01,21,0.5,0.5,0,0,0.3,22.3,2,1,40.68257141,-73.97755432,990475.3833,187956.3903,117
2888,2,1/1/2016 0:47,1/1/2016 1:18,N,1,-73.92050934,40.7065239,1,5.84,23,0.5,0.5,4.86,0,0.3,29.16,1,1,40.67392349,-73.99596405,985369.5292,184804.9331,123
2889,2,1/1/2016 0:46,1/1/2016 1:18,N,1,-74.00454712,40.65623856,1,9.14,31,0.5,0.5,0,0,0.3,32.3,2,1,40.57705688,-74.00240326,983582.3934,149513.834,153
2890,2,1/1/2016 0:44,1/1/2016 1:18,N,1,-73.96369934,40.80628967,1,12.39,38,0.5,0.5,7.86,0,0.3,47.16,1,1,40.69187164,-73.99465942,985731.0199,191343.9835,109
2891,2,1/1/2016 0:52,1/1/2016 1:19,N,1,-73.99015808,40.68308258,1,10.89,33,0.5,0.5,10.29,0,0.3,44.59,1,1,40.74882126,-73.86919403,1020493.413,212119.4937,74
2892,2,1/1/2016 0:49,1/1/2016 1:18,N,1,-73.83253479,40.7610321,1,0,2.5,0.5,0.5,6.2,0,0.3,10,1,1,40.74796295,-73.95704651,996151.6105,211782.6424,77
2893,2,1/1/2016 0:45,1/1/2016 1:17,N,1,-74.00367737,40.74324036,1,7.67,28,0.5,0.5,0,0,0.3,29.3,2,1,40.81074142,-73.93913269,1001099.302,234657.8988,46
2894,2,1/1/2016 0:48,1/1/2016 1:19,N,1,-73.96411133,40.67301941,6,10.87,34,0.5,0.5,7.06,0,0.3,42.36,1,1,40.77034378,-73.92372131,1005378.298,219942.9914,65
2895,2,1/1/2016 0:53,1/1/2016 1:19,N,1,-73.84212494,40.72038651,1,13.93,38.5,0.5,0.5,7.96,0,0.3,47.76,1,1,40.64981842,-74.00895691,981764.5514,176022.8807,125
2896,2,1/1/2016 0:50,1/1/2016 1:15,N,1,-73.84796143,40.78767776,1,8.76,29,0.5,0.5,0,0,0.3,30.3,2,1,40.77616119,-73.90864563,1009551.873,222066.4641,59
2897,2,1/1/2016 0:33,1/1/2016 1:19,N,1,-74.00369263,40.7172699,1,8.65,34.5,0.5,0.5,0,0,0.3,35.8,1,1,40.75072861,-73.94546509,999359.9784,212792.0452,77
2898,2,1/1/2016 0:59,1/1/2016 1:19,N,1,-73.9750061,40.65609741,1,11.88,32.5,0.5,0.5,0,0,0.3,33.8,2,1,40.74789047,-73.95696259,996174.8771,211756.2473,77
2899,2,1/1/2016 0:58,1/1/2016 1:19,N,1,-73.87338257,40.73069382,1,4.06,17,0.5,0.5,3.66,0,0.3,21.96,1,1,40.74457932,-73.91133881,1008817.606,210559.3903,75
2900,2,1/1/2016 0:59,1/1/2016 1:19,N,1,-73.98101807,40.65837479,5,13.36,36.5,0.5,0.5,9.45,0,0.3,47.25,1,1,40.76950073,-73.91493988,1007810.949,219638.081,72
2901,2,1/1/2016 0:52,1/1/2016 1:18,N,1,-73.82154083,40.6749382,1,6.94,24,0.5,0.5,0,0,0.3,25.3,2,1,40.7469902,-73.89073181,1014526.611,211444.2046,160
2902,2,1/1/2016 0:53,1/1/2016 1:19,N,1,-73.82673645,40.67727661,5,6.58,23.5,0.5,0.5,0,0,0.3,24.8,1,1,40.74692535,-73.89074707,1014522.412,211420.5725,160
2903,2,1/1/2016 0:59,1/1/2016 1:19,N,1,-73.9575119,40.65369797,1,3.61,15.5,0.5,0.5,0,0,0.3,16.8,2,1,40.69972229,-73.99116516,986699.7416,194204.2845,109
2904,2,1/1/2016 0:59,1/1/2016 1:19,N,1,-73.97596741,40.68529129,1,3.82,16,0.5,0.5,0,0,0.3,17.3,2,1,40.66586304,-73.92149353,1006029.482,181878.0143,3
2905,2,1/1/2016 0:59,1/1/2016 1:18,N,1,-73.96170807,40.71396255,1,6.33,20,0.5,0.5,0,0,0.3,21.3,2,1,40.68689728,-73.99365997,986008.3134,189531.6952,109
2906,2,1/1/2016 0:57,1/1/2016 1:18,N,1,-73.95500183,40.79955673,2,4.33,17.5,0.5,0.5,0,0,0.3,18.8,1,1,40.83675385,-73.93958282,1000968.159,244135.0813,33
2907,2,1/1/2016 0:49,1/1/2016 1:17,N,1,-73.9278183,40.61105347,1,8.96,28.5,0.5,0.5,0,0,0.3,29.8,2,1,40.68970871,-73.99272156,986268.4841,190556.0021,109
2908,2,1/1/2016 0:54,1/1/2016 1:19,N,1,-73.94746399,40.65858841,1,3.75,15,0.5,0.5,0,0,0.3,16.3,2,1,40.68806076,-73.97861481,990180.7658,189956.2462,117
2909,2,1/1/2016 0:54,1/1/2016 1:20,N,1,-73.94934082,40.75411606,1,5.36,21.5,0.5,0.5,4.56,0,0.3,27.36,1,1,40.73683548,-73.86592865,1021404.86,207754.0659,202
2910,2,1/1/2016 0:51,1/1/2016 1:19,N,1,-73.98961639,40.7440567,1,6.46,24,0.5,0.5,5.06,0,0.3,30.36,1,1,40.66714859,-73.96517944,993909.8302,182338.5378,118
2911,2,1/1/2016 0:49,1/1/2016 1:16,N,1,-73.83253479,40.76101685,1,10.82,32,0.5,0.5,0,0,0.3,33.3,2,1,40.74796295,-73.95704651,996151.6105,211782.6424,77
2912,2,1/1/2016 0:43,1/1/2016 1:19,N,1,-73.79972076,40.66783905,1,16.83,49,0.5,0.5,0,0,0.3,50.3,2,1,40.7303772,-73.9543457,996903.2925,205375.9747,92
2913,2,1/1/2016 0:41,1/1/2016 1:19,N,1,-73.99299622,40.76292801,1,10.76,36,0.5,0.5,0,5.54,0.3,42.84,1,1,40.65227127,-73.95789337,995933.7189,176919.2028,6
2914,2,1/1/2016 0:58,1/1/2016 1:19,N,1,-73.93626404,40.84580612,1,4.05,17,0.5,0.5,0,0,0.3,18.3,2,1,40.87508011,-73.9023819,1011246.538,258108.0871,15
2915,2,1/1/2016 0:44,1/1/2016 1:19,N,1,-73.92304993,40.76774597,1,7.68,28.5,0.5,0.5,0,0,0.3,29.8,2,1,40.68294907,-73.96472931,994032.3874,188095.1528,118
2916,2,1/1/2016 0:48,1/1/2016 1:19,N,1,-73.95474243,40.60007858,1,7.45,26,0.5,0.5,6.82,0,0.3,34.12,1,1,40.69109344,-73.9475708,998789.5531,191064.769,184
2917,2,1/1/2016 0:58,1/1/2016 1:18,N,1,-73.89992523,40.83081818,1,5.67,20,0.5,0.5,0,0,0.3,21.3,2,1,40.87191772,-73.86707306,1021013.03,256968.7568,14
2918,2,1/1/2016 0:40,1/1/2016 1:20,N,1,-73.98901367,40.72667694,1,7.21,30,0.5,0.5,6.26,0,0.3,37.56,1,1,40.67347336,-73.96961212,992679.3286,184642.3726,118
2919,2,1/1/2016 0:54,1/1/2016 1:20,N,1,-73.9492569,40.78269577,1,6.87,25.5,0.5,0.5,3.5,0,0.3,30.3,1,1,40.84403229,-73.9411087,1000544.147,246786.6019,33
2920,2,1/1/2016 0:53,1/1/2016 1:20,N,1,-73.92254639,40.70569229,1,4.91,20,0.5,0.5,4.26,0,0.3,25.56,1,1,40.66014099,-73.96055603,995193.5952,179786.0165,4
2921,2,1/1/2016 0:58,1/1/2016 1:20,N,1,-73.91915131,40.68610382,6,3.56,15.5,0.5,0.5,4.2,0,0.3,21,1,1,40.71042252,-73.95830536,995809.3168,198105.325,201
2922,2,1/1/2016 0:57,1/1/2016 1:20,N,1,-73.91368866,40.83892441,1,3.11,15,0.5,0.5,0,0,0.3,16.3,2,1,40.83146286,-73.94287109,1000059.512,242206.7696,33
2923,2,1/1/2016 0:56,1/1/2016 1:20,N,1,-73.92662048,40.86279678,1,8.92,29.5,0.5,0.5,9.08,5.54,0.3,45.42,1,1,40.75641632,-73.92971802,1003721.353,214867.3713,73
2924,2,1/1/2016 0:43,1/1/2016 1:20,N,5,-73.62647247,40.82907867,5,22.24,100,0,0,0,0,0,100,2,2,40.77570724,-73.902565,1011236.171,221902.8901,59
2925,2,1/1/2016 0:56,1/1/2016 1:20,N,1,-73.97850037,40.7450676,1,6.16,21.5,0.5,0.5,0,0,0.3,22.8,2,1,40.7763443,-73.90172577,1011468.35,222135.25,59
2926,2,1/1/2016 0:46,1/1/2016 1:15,N,1,-73.93289185,40.70544052,1,3.86,18.5,0.5,0.5,0,0,0.3,19.8,2,1,40.71405792,-73.9520874,997532.4427,199430.6953,201
2927,2,1/1/2016 0:55,1/1/2016 1:20,N,1,-73.99627686,40.7412262,1,4.86,20,0.5,0.5,5.32,0,0.3,26.62,1,1,40.71413803,-73.94429016,999693.9933,199461.1598,201
2928,2,1/1/2016 0:58,1/1/2016 1:19,N,1,-73.91676331,40.67335129,5,2.52,14.5,0.5,0.5,0,0,0.3,15.8,2,1,40.68010712,-73.94351196,999917.7223,187062.8308,184
2929,2,1/1/2016 0:56,1/1/2016 1:21,N,1,-73.96678162,40.75596619,1,5.81,22.5,0.5,0.5,2,0,0.3,25.8,1,1,40.71075058,-73.96670532,993480.4869,198223.8518,261
2930,2,1/1/2016 0:51,1/1/2016 1:21,N,1,-73.97145081,40.7924881,1,13.61,39,0.5,0.5,6,5.54,0.3,51.84,1,1,40.72093582,-73.84420013,1027436.727,201971.2976,166
2931,2,1/1/2016 0:55,1/1/2016 1:21,N,1,-73.86480713,40.74377823,1,4.29,19,0.5,0.5,0,0,0.3,20.3,2,1,40.75617599,-73.92418671,1005253.857,214781.0907,73
2932,2,1/1/2016 0:56,1/1/2016 1:21,N,1,-73.87840271,40.75247574,1,7.52,26,0.5,0.5,0,0,0.3,27.3,2,1,40.69065475,-73.8263092,1032417.847,190948.3446,182
2933,2,1/1/2016 0:48,1/1/2016 1:20,N,1,-73.98609161,40.76819229,1,4.61,23.5,0.5,0.5,0,0,0.3,24.8,2,1,40.74224854,-73.90899658,1009467.508,209710.8789,75
2934,2,1/1/2016 0:38,1/1/2016 1:21,N,1,-73.89723206,40.70719147,1,6.97,30,0.5,0.5,9.39,0,0.3,40.69,1,1,40.72179794,-73.95822144,995830.6068,202249.7508,261
2935,2,1/1/2016 0:55,1/1/2016 1:20,N,1,-74.0083313,40.721241,1,5.68,21,0.5,0.5,0,0,0.3,22.3,2,1,40.68397141,-73.94420624,999724.259,188470.5791,184
